# vim:set tabstop=38:
THROTTLE_FULL	Set throttles max
FUEL_DUMP_TOGGLE	Turns on or off the fuel dump switch.
REQUEST_FUEL_KEY	Request a fuel truck. The aircraft must be in a parking spot for this to be successful.

FUEL_SELECTOR_LEFT_MAIN	Sets the fuel selector. Fuel will be taken in the order left tip, left aux, then main fuel tanks.
FUEL_SELECTOR_2_LEFT_MAIN	Sets the fuel selector for engine 2.
FUEL_SELECTOR_3_LEFT_MAIN	Sets the fuel selector for engine 3.
FUEL_SELECTOR_4_LEFT_MAIN	Sets the fuel selector for engine 4.
FUEL_SELECTOR_RIGHT_MAIN	Sets the fuel selector. Fuel will be taken in the order right tip, right aux, then main fuel tanks.
FUEL_SELECTOR_2_RIGHT_MAIN	Sets the fuel selector for engine 2.
FUEL_SELECTOR_3_RIGHT_MAIN	Sets the fuel selector for engine 3.
FUEL_SELECTOR_4_RIGHT_MAIN	Sets the fuel selector for engine 4.

XPNDR	Sequentially selects the transponder digits for use with +/-.
ADF	Sequentially selects the ADF tuner digits for use with +/-. Follow by KEY_SELECT_2 for ADF 2.
DME	Selects the DME for use with +/-
COM_RADIO	Sequentially selects the COM tuner digits for use with +/-. Follow by KEY_SELECT_2 for COM 2.
VOR_OBS	Sequentially selects the VOR OBS for use with +/-. Follow by KEY_SELECT_2 for VOR 2.
NAV_RADIO	Sequentially selects the NAV tuner digits for use with +/-. Follow by KEY_SELECT_2 for NAV 2.
COM_RADIO_WHOLE_DEC	Decrements COM by one MHz
COM_RADIO_WHOLE_INC	Increments COM by one MHz
COM_RADIO_FRACT_DEC	Decrements COM by 25 KHz
COM_RADIO_FRACT_INC	Increments COM by 25 KHz
NAV1_RADIO_WHOLE_DEC	Decrements Nav 1 by one MHz
NAV1_RADIO_WHOLE_INC	Increments Nav 1 by one MHz
NAV1_RADIO_FRACT_DEC	Decrements Nav 1 by 25 KHz
NAV1_RADIO_FRACT_INC	Increments Nav 1 by 25 KHz
NAV2_RADIO_WHOLE_DEC	Decrements Nav 2 by one MHz
NAV2_RADIO_WHOLE_INC	Increments Nav 2 by one MHz
NAV2_RADIO_FRACT_DEC	Decrements Nav 2 by 25 KHz
NAV2_RADIO_FRACT_INC	Increments Nav 2 by 25 KHz
ADF_100_INC	Increments ADF by 100 KHz
ADF_10_INC	Increments ADF by 10 KHz
ADF_1_INC	Increments ADF by 1 KHz
XPNDR_1000_INC	Increments first digit of transponder
XPNDR_100_INC	Increments second digit of transponder
XPNDR_10_INC	Increments third digit of transponder
XPNDR_1_INC	Increments fourth digit of transponder
VOR1_OBI_DEC	Decrements the VOR 1 OBS setting
VOR1_OBI_INC	Increments the VOR 1 OBS setting
VOR2_OBI_DEC	Decrements the VOR 2 OBS setting
VOR2_OBI_INC	Increments the VOR 2 OBS setting
ADF_100_DEC	Decrements ADF by 100 KHz
ADF_10_DEC	Decrements ADF by 10 KHz
ADF_1_DEC	Decrements ADF by 1 KHz
COM_RADIO_SET	Sets COM frequency (BCD Hz)
NAV1_RADIO_SET	Sets NAV 1 frequency (BCD Hz)
NAV2_RADIO_SET	Sets NAV 2 frequency (BCD Hz)
ADF_SET	Sets ADF frequency (BCD Hz)
XPNDR_SET	Sets transponder code (BCD)
VOR1_SET	Sets OBS 1 (0 to 360)
VOR2_SET	Sets OBS 2 (0 to 360)
DME1_TOGGLE	Sets DME display to Nav 1
DME2_TOGGLE	Sets DME display to Nav 2
RADIO_VOR1_IDENT_DISABLE	Turns NAV 1 ID off
RADIO_VOR2_IDENT_DISABLE	Turns NAV 2 ID off
RADIO_DME1_IDENT_DISABLE	Turns DME 1 ID off
RADIO_DME2_IDENT_DISABLE	Turns DME 2 ID off
RADIO_ADF_IDENT_DISABLE	Turns ADF 1 ID off
RADIO_VOR1_IDENT_ENABLE	Turns NAV 1 ID on
RADIO_VOR2_IDENT_ENABLE	Turns NAV 2 ID on
RADIO_DME1_IDENT_ENABLE	Turns DME 1 ID on
RADIO_DME2_IDENT_ENABLE	Turns DME 2 ID on
RADIO_ADF_IDENT_ENABLE	Turns ADF 1 ID on
RADIO_VOR1_IDENT_TOGGLE	Toggles NAV 1 ID
RADIO_VOR2_IDENT_TOGGLE	Toggles NAV 2 ID
RADIO_DME1_IDENT_TOGGLE	Toggles DME 1 ID
RADIO_DME2_IDENT_TOGGLE	Toggles DME 2 ID
RADIO_ADF_IDENT_TOGGLE	Toggles ADF 1 ID
RADIO_VOR1_IDENT_SET	Sets NAV 1 ID (on/off)
RADIO_VOR2_IDENT_SET	Sets NAV 2 ID (on/off)
RADIO_DME1_IDENT_SET	Sets DME 1 ID (on/off)
RADIO_DME2_IDENT_SET	Sets DME 2 ID (on/off)
RADIO_ADF_IDENT_SET	Sets ADF 1 ID (on/off)
ADF_CARD_INC	Increments ADF card
ADF_CARD_DEC	Decrements ADF card
ADF_CARD_SET	Sets ADF card (0-360)
TOGGLE_DME	Toggles between NAV 1 and NAV 2
AVIONICS_MASTER_SET	Sets the avionics master switch
TOGGLE_AVIONICS_MASTER	Toggles the avionics master switch
COM_STBY_RADIO_SET	Sets COM 1 standby frequency (BCD Hz)
COM_STBY_RADIO_SWAP	Swaps COM 1 frequency with standby
COM_RADIO_FRACT_DEC_CARRY	Decrement COM 1 frequency by 25 KHz, and carry when digit wraps
COM_RADIO_FRACT_INC_CARRY	Increment COM 1 frequency by 25 KHz, and carry when digit wraps
COM2_RADIO_WHOLE_DEC	Decrement COM 2 frequency by 1 MHz, with no carry when digit wraps
COM2_RADIO_WHOLE_INC	Increment COM 2 frequency by 1 MHz, with no carry when digit wraps
COM2_RADIO_FRACT_DEC	Decrement COM 2 frequency by 25 KHz, with no carry when digit wraps
COM2_RADIO_FRACT_DEC_CARRY	Decrement COM 2 frequency by 25 KHz, and carry when digit wraps
COM2_RADIO_FRACT_INC	Increment COM 2 frequency by 25 KHz, with no carry when digit wraps
COM2_RADIO_FRACT_INC_CARRY	Increment COM 2 frequency by 25 KHz, and carry when digit wraps
COM2_RADIO_SET	Sets COM 2 frequency (BCD Hz)
COM2_STBY_RADIO_SET	Sets COM 2 standby frequency (BCD Hz)
COM2_RADIO_SWAP	Swaps COM 2 frequency with standby
NAV1_RADIO_FRACT_DEC_CARRY	Decrement NAV 1 frequency by 50 KHz, and carry when digit wraps
NAV1_RADIO_FRACT_INC_CARRY	Increment NAV 1 frequency by 50 KHz, and carry when digit wraps
NAV1_STBY_SET	Sets NAV 1 standby frequency (BCD Hz)
NAV1_RADIO_SWAP	Swaps NAV 1 frequency with standby
NAV2_RADIO_FRACT_DEC_CARRY	Decrement NAV 2 frequency by 50 KHz, and carry when digit wraps
NAV2_RADIO_FRACT_INC_CARRY	Increment NAV 2 frequency by 50 KHz, and carry when digit wraps
NAV2_STBY_SET	Sets NAV 2 standby frequency (BCD Hz)
NAV2_RADIO_SWAP	Swaps NAV 2 frequency with standby
ADF1_RADIO_TENTHS_DEC	Decrements ADF 1 by 0.1 KHz.
ADF1_RADIO_TENTHS_INC	Increments ADF 1 by 0.1 KHz.
XPNDR_1000_DEC	Decrements first digit of transponder
XPNDR_100_DEC	Decrements second digit of transponder
XPNDR_10_DEC	Decrements third digit of transponder
XPNDR_1_DEC	Decrements fourth digit of transponder
XPNDR_DEC_CARRY	Decrements fourth digit of transponder, and with carry.
XPNDR_INC_CARRY	Increments fourth digit of transponder, and with carry.
ADF_FRACT_DEC_CARRY	Decrements ADF 1 frequency by 0.1 KHz, with carry
ADF_FRACT_INC_CARRY	Increments ADF 1 frequency by 0.1 KHz, with carry
COM1_TRANSMIT_SELECT	Selects COM 1 to transmit
COM2_TRANSMIT_SELECT	Selects COM 2 to transmit
COM_RECEIVE_ALL_TOGGLE	Toggles all COM radios to receive on
COM_RECEIVE_ALL_SET	Sets whether to receive on all COM radios (1,0)
MARKER_SOUND_TOGGLE	Toggles marker beacon sound on/off
ADF_COMPLETE_SET	Sets ADF 1 frequency (BCD Hz)
ADF1_WHOLE_INC	Increments ADF 1 by 1 KHz, with carry as digits wrap.
ADF1_WHOLE_DEC	Decrements ADF 1 by 1 KHz, with carry as digits wrap.
ADF2_100_INC	Increments the ADF 2 frequency 100 digit, with wrapping
ADF2_10_INC	Increments the ADF 2 frequency 10 digit, with wrapping
ADF2_1_INC	Increments the ADF 2 frequency 1 digit, with wrapping
ADF2_RADIO_TENTHS_INC	Increments ADF 2 frequency 1/10 digit, with wrapping
ADF2_100_DEC	Decrements the ADF 2 frequency 100 digit, with wrapping
ADF2_10_DEC	Decrements the ADF 2 frequency 10 digit, with wrapping
ADF2_1_DEC	Decrements the ADF 2 frequency 1 digit, with wrapping
ADF2_RADIO_TENTHS_DEC	Decrements ADF 2 frequency 1/10 digit, with wrapping
ADF2_WHOLE_INC	Increments ADF 2 by 1 KHz, with carry as digits wrap.
ADF2_WHOLE_DEC	Decrements ADF 2 by 1 KHz, with carry as digits wrap.
ADF2_FRACT_DEC_CARRY	Decrements ADF 2 frequency by 0.1 KHz, with carry
ADF2_FRACT_INC_CARRY	Increments ADF 2 frequency by 0.1 KHz, with carry
ADF2_COMPLETE_SET	Sets ADF 1 frequency (BCD Hz)
RADIO_ADF2_IDENT_DISABLE	Turns ADF 2 ID off
RADIO_ADF2_IDENT_ENABLE	Turns ADF 2 ID on
RADIO_ADF2_IDENT_TOGGLE	Toggles ADF 2 ID
RADIO_ADF2_IDENT_SET	Sets ADF 2 ID on/off (1,0)
FREQUENCY_SWAP	Swaps frequency with standby on whichever NAV or COM radio is selected.
TOGGLE_GPS_DRIVES_NAV1	Toggles between GPS and NAV 1 driving NAV 1 OBS display (and AP)
GPS_POWER_BUTTON	Toggles power button
GPS_NEAREST_BUTTON	Selects Nearest Airport Page
GPS_OBS_BUTTON	Toggles automatic sequencing of waypoints
GPS_MSG_BUTTON	Toggles the Message Page
GPS_MSG_BUTTON_DOWN	Triggers the pressing of the message button.
GPS_MSG_BUTTON_UP	Triggers the release of the message button
GPS_FLIGHTPLAN_BUTTON	Displays the programmed flightplan.
GPS_TERRAIN_BUTTON	Displays terrain information on default display
GPS_PROCEDURE_BUTTON	Displays the approach procedure page.
GPS_ZOOMIN_BUTTON	Zooms in default display
GPS_ZOOMOUT_BUTTON	Zooms out default display
GPS_DIRECTTO_BUTTON	Brings up the "Direct To" page
GPS_MENU_BUTTON	Brings up page to select active legs in a flightplan.
GPS_CLEAR_BUTTON	Clears entered data on a page
GPS_CLEAR_ALL_BUTTON	Clears all data immediately
GPS_CLEAR_BUTTON_DOWN	Triggers the pressing of the Clear button
GPS_CLEAR_BUTTON_UP	Triggers the release of the Clear button.
GPS_ENTER_BUTTON	Approves entered data.
GPS_CURSOR_BUTTON	Selects GPS cursor
GPS_GROUP_KNOB_INC	Increments cursor
GPS_GROUP_KNOB_DEC	Decrements cursor
GPS_PAGE_KNOB_INC	Increments through pages
GPS_PAGE_KNOB_DEC	Decrements through pages
DME_SELECT	Selects one of the two DME systems (1,2).
RADIO_SELECTED_DME_IDENT_ENABLE	Turns on the identification sound for the selected DME.
RADIO_SELECTED_DME_IDENT_DISABLE	Turns off the identification sound for the selected DME.
RADIO_SELECTED_DME_IDENT_SET	Sets the DME identification sound to the given filename.
RADIO_SELECTED_DME_IDENT_TOGGLE	Turns on or off the identification sound for the selected DME.



EGT	Selects EGT bug for +/-
EGT_INC	Increments EGT bugs
EGT_DEC	Decrements EGT bugs
EGT_SET	Sets EGT bugs (0 to 32767)
BAROMETRIC	Syncs altimeter setting to sea level pressure, or 29.92 if above 18000 feet
GYRO_DRIFT_INC	Increments heading indicator
GYRO_DRIFT_DEC	Decrements heading indicator
KOHLSMAN_INC	Increments altimeter setting
KOHLSMAN_DEC	Decrements altimeter setting
KOHLSMAN_SET	Sets altimeter setting (Millibars * 16)
TRUE_AIRSPEED_CAL_INC	Increments airspeed indicators true airspeed reference card
TRUE_AIRSPEED_CAL_DEC	Decrements airspeed indicators true airspeed reference card
TRUE_AIRSPEED_CAL_SET	Sets airspeed indicators true airspeed reference card (degrees, where 0 is standard sea level conditions)
EGT1_INC	Increments EGT bug 1
EGT1_DEC	Decrements EGT bug 1
EGT1_SET	Sets EGT bug 1 (0 to 32767)
EGT2_INC	Increments EGT bug 2
EGT2_DEC	Decrements EGT bug 2
EGT2_SET	Sets EGT bug 2 (0 to 32767)
EGT3_INC	Increments EGT bug 3
EGT3_DEC	Decrements EGT bug 3
EGT3_SET	Sets EGT bug 3 (0 to 32767)
EGT4_INC	Increments EGT bug 4
EGT4_DEC	Decrements EGT bug 4
EGT4_SET	Sets EGT bug 4 (0 to 32767)
ATTITUDE_BARS_POSITION_UP	Increments attitude indicator pitch reference bars
ATTITUDE_BARS_POSITION_DOWN	Decrements attitude indicator pitch reference bars
ATTITUDE_CAGE_BUTTON	Cages attitude indicator at 0 pitch and bank
RESET_G_FORCE_INDICATOR	Resets max/min indicated G force to 1.0.
RESET_MAX_RPM_INDICATOR	Reset max indicated engine rpm to 0.
HEADING_GYRO_SET	Sets heading indicator to 0 drift error.
GYRO_DRIFT_SET	Sets heading indicator drift angle (degrees).


STROBES_TOGGLE	Toggle strobe lights
ALL_LIGHTS_TOGGLE	Toggle all lights
PANEL_LIGHTS_TOGGLE	Toggle panel lights
LANDING_LIGHTS_TOGGLE	Toggle landing lights
LANDING_LIGHT_UP	Rotate landing light up
LANDING_LIGHT_DOWN	Rotate landing light down
LANDING_LIGHT_LEFT	Rotate landing light left
LANDING_LIGHT_RIGHT	Rotate landing light right
LANDING_LIGHT_HOME	Return landing light to default position
STROBES_ON	Turn strobe lights on
STROBES_OFF	Turn strobe light off
STROBES_SET	Set strobe lights on/off (1,0)
PANEL_LIGHTS_ON	Turn panel lights on
PANEL_LIGHTS_OFF	Turn panel lights off
PANEL_LIGHTS_SET	Set panel lights on/off (1,0)
LANDING_LIGHTS_ON	Turn landing lights on
LANDING_LIGHTS_OFF	Turn landing lights off
LANDING_LIGHTS_SET	Set landing lights on/off (1,0)
TOGGLE_BEACON_LIGHTS	Toggle beacon lights
TOGGLE_TAXI_LIGHTS	Toggle taxi lights
TOGGLE_LOGO_LIGHTS	Toggle logo lights
TOGGLE_RECOGNITION_LIGHTS	Toggle recognition lights
TOGGLE_WING_LIGHTS	Toggle wing lights
TOGGLE_NAV_LIGHTS	Toggle navigation lights
TOGGLE_CABIN_LIGHTS	Toggle cockpit/cabin lights


TOGGLE_VACUUM_FAILURE	Toggle vacuum system failure
TOGGLE_ELECTRICAL_FAILURE	Toggle electrical system failure
TOGGLE_PITOT_BLOCKAGE	Toggles blocked pitot tube
TOGGLE_STATIC_PORT_BLOCKAGE	Toggles blocked static port
TOGGLE_HYDRAULIC_FAILURE	Toggles hydraulic system failure
TOGGLE_TOTAL_BRAKE_FAILURE	Toggles brake failure (both)
TOGGLE_LEFT_BRAKE_FAILURE	Toggles left brake failure
TOGGLE_RIGHT_BRAKE_FAILURE	Toggles right brake failure
TOGGLE_ENGINE1_FAILURE	Toggle engine 1 failure
TOGGLE_ENGINE2_FAILURE	Toggle engine 2 failure
TOGGLE_ENGINE3_FAILURE	Toggle engine 3 failure
TOGGLE_ENGINE4_FAILURE	Toggle engine 4 failure


SMOKE_TOGGLE	Toggle smoke system switch
GEAR_TOGGLE	Toggle gear handle
BRAKES	Increment brake pressure
GEAR_SET	Sets gear handle position up/down (0,1)
BRAKES_LEFT	Increments left brake pressure
BRAKES_RIGHT	Increments right brake pressure
PARKING_BRAKES	Toggles parking brake on/off
GEAR_PUMP	Increments emergency gear extension
PITOT_HEAT_TOGGLE	Toggles pitot heat switch
SMOKE_ON	Turns smoke system on
SMOKE_OFF	Turns smoke system off
SMOKE_SET	Sets smoke system on/off (1,0)
PITOT_HEAT_ON	Turns pitot heat switch on
PITOT_HEAT_OFF	Turns pitot heat switch off
PITOT_HEAT_SET	Sets pitot heat switch on/off (1,0)
GEAR_UP	Sets gear handle in UP position
GEAR_DOWN	Sets gear handle in DOWN position
TOGGLE_MASTER_BATTERY	Toggles main battery switch
TOGGLE_MASTER_ALTERNATOR	Toggles main alternator/generator switch
TOGGLE_ELECTRIC_VACUUM_PUMP	Toggles backup electric vacuum pump
TOGGLE_ALTERNATE_STATIC	Toggles alternate static pressure port
DECREASE_DECISION_HEIGHT	Decrements decision height reference
INCREASE_DECISION_HEIGHT	Increments decision height reference
TOGGLE_STRUCTURAL_DEICE	Toggles structural deice switch
TOGGLE_PROPELLER_DEICE	Toggles propeller deice switch
TOGGLE_ALTERNATOR1	Toggles alternator/generator 1 switch
TOGGLE_ALTERNATOR2	Toggles alternator/generator 2 switch
TOGGLE_ALTERNATOR3	Toggles alternator/generator 3 switch
TOGGLE_ALTERNATOR4	Toggles alternator/generator 4 switch
TOGGLE_MASTER_BATTERY_ALTERNATOR	Toggles master battery and alternator switch
AXIS_LEFT_BRAKE_SET	Sets left brake position from axis controller (e.g. joystick). -16383 (0 brakes) to +16383 (max brakes)
AXIS_RIGHT_BRAKE_SET	Sets right brake position from axis controller (e.g. joystick). -16383 (0 brakes) to +16383 (max brakes)
TOGGLE_AIRCRAFT_EXIT	Toggles primary door open/close. Follow by KEY_SELECT_2, etc for subsequent doors.
TOGGLE_WING_FOLD	Toggles wing folding
SET_WING_FOLD	Sets the wings into the folded position suitable for storage, typically on a carrier. Takes a value: 1 - fold wings, 0 - unfold wings
TOGGLE_TAIL_HOOK_HANDLE	Toggles tail hook
SET_TAIL_HOOK_HANDLE	Sets the tail hook handle. Takes a value: 1 - set tail hook, 0 - retract tail hook
TOGGLE_WATER_RUDDER	Toggles water rudders
TOGGLE_PUSHBACK	Toggles pushback.
KEY_TUG_HEADING	Triggers tug and sets the desired heading. The units are a 32 bit integer (0 to 4294967295) which represent 0 to 360 degrees. To set a 45 degree angle, for example, set the value to 4294967295 / 8.
KEY_TUG_SPEED	Triggers tug, and sets desired speed, in feet per second. The speed can be both positive (forward movement) and negative (backward movement).
TUG_DISABLE	Disables tug
TOGGLE_MASTER_IGNITION_SWITCH	Toggles master ignition switch
TOGGLE_TAILWHEEL_LOCK	Toggles tail wheel lock
ADD_FUEL_QUANTITY	Adds fuel to the aircraft, 25% of capacity by default. 0 to 65535 (max fuel) can be passed.
TOW_PLANE_RELEASE	Release a towed aircraft, usually a glider.
TOW_PLANE_REQUEST	Request a tow plane. The user aircraft must be tow-able, stationary, on the ground and not already attached for this to succeed.
RELEASE_DROPPABLE_OBJECTS	Release one droppable object. Multiple key events will release multiple objects.
RETRACT_FLOAT_SWITCH_DEC	If the plane has retractable floats, moves the retract position from Extend to Neutral, or Neutral to Retract.
RETRACT_FLOAT_SWITCH_INC	If the plane has retractable floats, moves the retract position from Retract to Neutral, or Neutral to Extend.
TOGGLE_WATER_BALLAST_VALVE	Turn the water ballast valve on or off.
TOGGLE_VARIOMETER_SWITCH	Turn the variometer on or off.
TOGGLE_TURN_INDICATOR_SWITCH	Turn the turn indicator on or off.
APU_STARTER	Start up the auxiliary power unit (APU).
APU_OFF_SWITCH	Turn the APU off.
APU_GENERATOR_SWITCH_TOGGLE	Turn the auxiliary generator on or off.
APU_GENERATOR_SWITCH_SET	Set the auxiliary generator switch (0,1).
EXTINGUISH_ENGINE_FIRE	Takes a two digit argument.  The first digit represents the fire extinguisher index, and the second represents the engine index.  For example,  11 would represent using bottle 1 on engine 1.  21 would represent using bottle 2 on engine 1.  Typical entries for a twin engine aircraft would be 11 and 22.
HYDRAULIC_SWITCH_TOGGLE	Turn the hydraulic switch on or off.
BLEED_AIR_SOURCE_CONTROL_INC	Increases the bleed air source control.
BLEED_AIR_SOURCE_CONTROL_DEC	Decreases the bleed air source control.
BLEED_AIR_SOURCE_CONTROL_SET	Set to one of: 0: auto 1: off 2: apu 3: engines
TURBINE_IGNITION_SWITCH_TOGGLE	Turn the turbine ignition switch on or off.
CABIN_NO_SMOKING_ALERT_SWITCH_TOGGLE	Turn the "No smoking" alert on or off.
CABIN_SEATBELTS_ALERT_SWITCH_TOGGLE	Turn the "Fasten seatbelts" alert on or off.
ANTISKID_BRAKES_TOGGLE	Turn the anti-skid braking system on or off.
GPWS_SWITCH_TOGGLE	Turn the g round proximity warning system (GPWS) on or off.
MANUAL_FUEL_PRESSURE_PUMP	Activate the manual fuel pressure pump.

STEERING_INC	Increments the nose wheel steering position by 5 percent.
STEERING_DEC	Decrements the nose wheel steering position by 5 percent.
STEERING_SET	Sets the value of the nose wheel steering position. Zero is straight ahead (-16383, far left +16383, far right).

KEY_PRESSURIZATION_PRESSURE_ALT_INC	Increases the altitude that the cabin is pressurized to.
KEY_PRESSURIZATION_PRESSURE_ALT_DEC	Decreases the altitude that the cabin is pressurized to.
PRESSURIZATION_CLIMB_RATE_INC	Sets the rate at which cabin pressurization is increased.
PRESSURIZATION_CLIMB_RATE_DEC	Sets the rate at which cabin pressurization is decreased.
PRESSURIZATION_PRESSURE_DUMP_SWTICH	Sets the cabin pressure to the outside air pressure.

TAKEOFF_ASSIST_ARM_TOGGLE	Deploy or remove the assist arm. Refer to the document Notes on Aircraft Systems.
TAKEOFF_ASSIST_ARM_SET	Value: TRUE request set FALSE request unset
TAKEOFF_ASSIST_FIRE	If everything is set up correctly. Launch from the catapult.
TOGGLE_LAUNCH_BAR_SWITCH	Toggle the request for the launch bar to be installed or removed.
SET_LAUNCH_BAR_SWITCH	Value: TRUE request set FALSE request unset

PAUSE_TOGGLE	Toggles pause on/off
PAUSE_ON	Turns pause on
PAUSE_OFF	Turns pause off
PAUSE_SET	Sets pause on/off (1,0)
DEMO_STOP	Stops demo system playback
SELECT_1	Sets "selected" index (for other events) to 1
SELECT_2	Sets "selected" index (for other events) to 2
SELECT_3	Sets "selected" index (for other events) to 3
SELECT_4	Sets "selected" index (for other events) to 4
MINUS	Used in conjunction with "selected" parameters to decrease their value (e.g., radio frequency)
PLUS	Used in conjunction with "selected" parameters to increase their value (e.g., radio frequency)
ZOOM_1X	Sets zoom level to 1
SOUND_TOGGLE	Toggles sound on/off
SIM_RATE	Selects simulation rate (use KEY_MINUS, KEY_PLUS to change)
JOYSTICK_CALIBRATE	Toggles joystick on/off
SITUATION_SAVE	Saves flight situation
SITUATION_RESET	Resets flight situation
SOUND_SET	Sets sound on/off (1,0)
EXIT	Quit ESP with a message
ABORT	Quit ESP without a message
READOUTS_SLEW	Cycle through information readouts while in slew
READOUTS_FLIGHT	Cycle through information readouts
MINUS_SHIFT	Used with other events
PLUS_SHIFT	Used with other events
SIM_RATE_INCR	Increase sim rate
SIM_RATE_DECR	Decrease sim rate
KNEEBOARD_VIEW	Toggles kneeboard
PANEL_1	Toggles panel 1
PANEL_2	Toggles panel 2
PANEL_3	Toggles panel 3
PANEL_4	Toggles panel 4
PANEL_5	Toggles panel 5
PANEL_6	Toggles panel 6
PANEL_7	Toggles panel 7
PANEL_8	Toggles panel 8
PANEL_9	Toggles panel 9
SOUND_ON	Turns sound on
SOUND_OFF	Turns sound off
INVOKE_HELP	Brings up Help system
TOGGLE_AIRCRAFT_LABELS	Toggles aircraft labels
FLIGHT_MAP	Brings up flight map
RELOAD_PANELS	Reload panel data
PANEL_ID_TOGGLE	Toggles indexed panel (1 to 9)
PANEL_ID_OPEN	Opens indexed panel (1 to 9)
PANEL_ID_CLOSE	Closes indexed panel (1 to 9)
RELOAD_USER_AIRCRAFT	Reloads the user aircraft data (from cache if same type loaded as an AI, otherwise from disk)
SIM_RESET	Resets aircraft state
VIRTUAL_COPILOT_TOGGLE	Turns Flying Tips on/off
VIRTUAL_COPILOT_SET	Sets Flying Tips on/off (1,0)
VIRTUAL_COPILOT_ACTION	Triggers action noted in Flying Tips
REFRESH_SCENERY	Reloads scenery
CLOCK_HOURS_DEC	Decrements time by hours
CLOCK_HOURS_INC	Increments time by hours
CLOCK_MINUTES_DEC	Decrements time by minutes
CLOCK_MINUTES_INC	Increments time by minutes
CLOCK_SECONDS_ZERO	Zeros seconds
CLOCK_HOURS_SET	Sets hour of day
CLOCK_MINUTES_SET	Sets minutes of the hour
ZULU_HOURS_SET	Sets hours, zulu time
ZULU_MINUTES_SET	Sets minutes, in zulu time
ZULU_DAY_SET	Sets day, in zulu time
ZULU_YEAR_SET	Sets year, in zulu time
GAUGE_KEYSTROKE	Enables a keystroke to be sent to a gauge that is in focus. The keystrokes can only be in the range 0 to 9, A to Z, and the four keys: plus, minus, comma and period. This is typically used to allow some keyboard entry to a complex device such as a GPS to enter such things as ICAO codes using the keyboard, rather than turning dials.
SIMUI_WINDOW_HIDESHOW	Display the ATC window.
VIEW_WINDOW_TITLES_TOGGLE	Turn window titles on or off.
AXIS_PAN_PITCH	Sets the pitch of the axis. Requires an angle.
AXIS_PAN_HEADING	Sets the heading of the axis. Requires an angle.
AXIS_PAN_TILT	Sets the tilt of the axis. Requires an angle.
VIEW_AXIS_INDICATOR_CYCLE	Step through the view axes.
VIEW_MAP_ORIENTATION_CYCLE	Step through the map orientations.
TOGGLE_JETWAY	Requests a jetway, which will only be answered if the aircraft is at a parking spot.
VIDEO_RECORD_TOGGLE	Turn on or off the video recording feature. This records uncompressed AVI format files to: My Documents\My Videos\
TOGGLE_AIRPORT_NAME_DISPLAY	Turn on or off the airport name.
CAPTURE_SCREENSHOT	Capture the current view as a screenshot. Which will be saved to a bmp file in: My Documents\My Pictures\
MOUSE_LOOK_TOGGLE	Switch Mouse Look mode on or off. Mouse Look mode enables a user to control their view using the mouse, and holding down the space bar.
YAXIS_INVERT_TOGGLE	Switch inversion of Y axis controls on or off.
AUTORUDDER_TOGGLE	Turn the automatic rudder control feature on or off.
